key,en-us,zh-cn

# ── Title Screen ──
title.fetching,"Fetching world data...","正在获取世界数据..."
title.gathering,"Gathering exchange rates, news headlines, and global intelligence.","正在收集汇率、新闻头条和全球情报。"
title.intro,"The world is on the brink. Choose the nation you will guide — or drive into chaos. The console is your weapon.","世界正处于崩溃边缘。选择你将引导的国家——或将其推向混乱。控制台就是你的武器。"
title.select_prompt,"Select your nation (↑↓ or j/k, Enter to confirm):","选择你的国家（↑↓ 或 j/k，回车确认）："
title.selected_label,"Selected:","已选择："
title.press_enter,"Press Enter to begin ▸","按回车开始 ▸"
title.confirming,"Confirming...","正在确认..."
title.subtitle,"A World Simulation Game for the Terminal","终端型世界模拟游戏"

# ── Event Log ──
eventlog.title,"WARFIRE RISES — 战火升腾","WARFIRE RISES — 战火升腾"
eventlog.day_briefing,"Day {day} — Global Intelligence Briefing","第 {day} 天 — 全球情报简报"
eventlog.separator,"──────────────────────────────────────────────","──────────────────────────────────────────────"
eventlog.daily_briefing,"▼ DAILY BRIEFING","▼ 每日简报"
eventlog.event_log,"▼ EVENT LOG","▼ 事件记录"
eventlog.no_events,"  No events yet. The world holds its breath.","  暂无事件。世界屏息以待。"
eventlog.affected,"Affected:","受影响方："
eventlog.type_pol,"POL","政治"
eventlog.type_mil,"MIL","军事"
eventlog.type_eco,"ECO","经济"
eventlog.type_dip,"DIP","外交"
eventlog.type_dis,"DIS","灾害"
eventlog.type_cri,"CRI","危机"

# ── Sidebar ──
sidebar.day,"Day {day}","第 {day} 天"
sidebar.stats,"─── Stats ───","─── 状态 ───"
sidebar.global,"─── Global ───","─── 全球 ───"
sidebar.nation,"─── Nation ───","─── 国家 ───"
sidebar.rates,"─── Rates ───","─── 汇率 ───"
sidebar.keywords,"─── Keywords ───","─── 关键词 ───"
sidebar.recent,"─── Recent ───","─── 最近 ───"
sidebar.diplomatic_pts,"Diplomatic Pts:","外交点数："
sidebar.army_endurance,"Army Endurance:","军队耐力："
sidebar.national_endure,"National Endure:","国家耐力："
sidebar.treasury,"Treasury:","国库："
sidebar.world_collapse,"World Collapse:","世界崩坏度："
sidebar.allies,"Allies:","盟友："
sidebar.enemies,"Enemies:","敌人："
sidebar.economy,"Economy:","经济："
sidebar.military,"Military:","军事："
sidebar.stability,"Stability:","稳定："
sidebar.nuclear,"Nuclear:","核武器："
sidebar.yes,"YES","有"
sidebar.no,"No","无"

# ── Status Bar ──
statusbar.commands,"Commands","命令"
statusbar.advance_day,"Advance Day","推进一天"
statusbar.overview,"Overview","全局"
statusbar.quit,"Quit","退出"

# ── Game Over ──
gameover.tfr_title,"☢  THE FIRE RISES  ☢","☢  烈焰升腾  ☢"
gameover.tfr_subtitle,"🔥  战火升腾  🔥","🔥  烈焰升腾  🔥"
gameover.tno_title,"🕊  THE NEW ORDER  🕊","🕊  新秩序  🕊"
gameover.tno_subtitle,"新秩序","THE NEW ORDER"
gameover.tfr_message,"{flag} {name} has become the catalyst for global annihilation. Your aggressive actions shattered the fragile world order. The flames of war consume everything. History will remember you as the architect of chaos.","{flag} {name} 已成为全球毁灭的催化剂。你的激进行动粉碎了脆弱的世界秩序。战火吞噬了一切。历史将记住你——混乱的建筑师。"
gameover.tno_message,"{flag} {name} emerges from the ashes as the world's arbiter. Through calculated diplomacy and measured force, a new global order takes shape under your guidance. The world bends the knee — not to destruction, but to a new reality.","{flag} {name} 从灰烬中崛起，成为世界的仲裁者。通过精心计算的外交和克制的武力，一个新的全球秩序在你的引导下成形。世界屈膝臣服——不是向毁灭，而是向新的现实。"
gameover.final_stats,"Final Statistics:","最终统计："
gameover.nation,"Nation:","国家："
gameover.days_survived,"Days survived:","存活天数："
gameover.final_wc,"Final World Collapse:","最终世界崩坏度："
gameover.final_ne,"National Endurance:","国家耐力："
gameover.final_ae,"Army Endurance:","军队耐力："
gameover.final_treasury,"Treasury:","国库："
gameover.final_allies,"Allies:","盟友："
gameover.final_enemies,"Enemies:","敌人："
gameover.ending_label,"Ending:","结局："
gameover.tfr_epilogue,"The world burns. Your name is etched in ash and fire. History curses you — but fear keeps them obedient.","世界在燃烧。你的名字刻在灰烬与火焰之中。历史诅咒你——但恐惧让他们顺从。"
gameover.tno_epilogue,"A new world rises from the chaos. Your vision reshapes nations. Order emerges, and with it — your legacy.","一个新的世界从混乱中崛起。你的愿景重塑了各国。秩序浮现，随之而来的是——你的遗产。"
gameover.exit_hint,"Press Ctrl+C to exit. The world remembers.","按 Ctrl+C 退出。世界将铭记。"
gameover.tfr_ending_label,"THE FIRE RISES (TFR)","战火升腾 (TFR)"
gameover.tno_ending_label,"THE NEW ORDER (TNO)","新秩序 (TNO)"

# ── App ──
app.welcome,"Welcome to WARFIRE RISES. Type 'help' for available commands.","欢迎来到 WARFIRE RISES。输入 'help' 查看可用命令。"
app.loading_title,"═══ WARFIRE RISES — 战火升腾 ═══","═══ WARFIRE RISES — 战火升腾 ═══"
app.fetching_intel,"Fetching global intelligence...","正在获取全球情报..."
app.fetching_rates,"▸ Exchange rates (USD/CNY, USD/HKD, USD/EUR, USD/GBP, USD/JPY, USD/RUB)","▸ 汇率（美元/人民币、美元/港币、美元/欧元、美元/英镑、美元/日元、美元/卢布）"
app.fetching_news,"▸ World news headlines and keyword extraction","▸ 世界新闻头条与关键词提取"
app.fetching_sim,"▸ Initializing geopolitical simulation matrix","▸ 初始化地缘政治模拟矩阵"
app.fetching_wait,"Please wait — data is gathered only once per campaign.","请稍候——数据仅在每场战役开始时收集一次。"
app.game_header,"=== WARFIRE RISES ===","=== 战火升腾 ==="
app.date_label,"Date:","日期："
app.you_control,"You control:","你掌控："
app.type_help,"Type 'help' for available commands.","输入 'help' 查看可用命令。"
app.day_header,"═══ DAY {day} ═══","═══ 第 {day} 天 ═══"
app.wc_status,"World Collapse: {wc}% | DP: {dp} | AE: {ae}% | NE: {ne}%","世界崩坏度：{wc}% | 外交点：{dp} | 军队耐力：{ae}% | 国家耐力：{ne}%"
app.gameover_already,"The game is over. Press Ctrl+C to exit.","游戏已结束。按 Ctrl+C 退出。"

# ── Commands: help ──
cmd.help.desc,"Show all available commands","显示所有可用命令"
cmd.help.usage,"help [command]","help [command]"
cmd.help.unknown,"Unknown command: {cmd}","未知命令：{cmd}"
cmd.help.title,"=== WARFIRE RISES CONSOLE COMMANDS ===","=== WARFIRE RISES 控制台命令 ==="
cmd.help.detail_hint,"Use 'help <command>' for detailed usage.","使用 'help <command>' 查看详细用法。"
cmd.help.aliases,"Aliases: {aliases}","别名：{aliases}"

# ── Commands: status ──
cmd.status.desc,"Display detailed status of your nation","显示你国家的详细状态"
cmd.status.usage,"status","status"
cmd.status.government,"Government: {gov} | Power: {power}","政府：{gov} | 实力：{power}"
cmd.status.economy,"Economy: {eco}/100 | Military: {mil}/100 | Stability: {stb}/100","经济：{eco}/100 | 军事：{mil}/100 | 稳定：{stb}/100"
cmd.status.treasury,"Treasury: ${treasury}B | Population: {pop}M | Nuclear: {nuke}","国库：${treasury}B | 人口：{pop}M | 核武器：{nuke}"
cmd.status.allies,"Allies: {allies}","盟友：{allies}"
cmd.status.enemies,"Enemies: {enemies}","敌人：{enemies}"
cmd.status.points,"Diplomatic Points: {dp}","外交点数：{dp}"
cmd.status.endurance,"Army Endurance: {ae}%","军队耐力：{ae}%"
cmd.status.national,"National Endurance: {ne}%","国家耐力：{ne}%"
cmd.status.collapse,"World Collapse: {wc}%","世界崩坏度：{wc}%"
cmd.status.rates_header,"Exchange Rates:","汇率："
cmd.status.keywords_header,"World Keywords: {kw}","世界关键词：{kw}"

# ── Commands: next ──
cmd.next.desc,"Advance to the next day and process world events","推进至下一天并处理世界事件"
cmd.next.usage,"next","next"

# ── Commands: diplomacy ──
cmd.diplomacy.desc,"Conduct diplomatic actions with another country","对另一个国家执行外交行动"
cmd.diplomacy.usage,"diplomacy <improve|treaty|sanction|condemn> <country_id>","diplomacy <improve|treaty|sanction|condemn> <country_id>"
cmd.diplomacy.no_args,"Usage: diplomacy <action> <country_id>","用法：diplomacy <action> <country_id>"
cmd.diplomacy.unknown_country,"Unknown country: {id}","未知国家：{id}"
cmd.diplomacy.self,"You cannot conduct diplomacy with yourself.","你不能对自己进行外交活动。"
cmd.diplomacy.no_points,"Not enough diplomatic points (need {cost}, have {have})","外交点数不足（需要 {cost}，拥有 {have}）"
cmd.diplomacy.improve,"Relations with {flag} {name} improved (+15). Cost: {cost} DP.","与 {flag} {name} 的关系改善 (+15)。消耗：{cost} 外交点。"
cmd.diplomacy.treaty,"Defense treaty signed with {flag} {name} (+25 relations). Cost: {cost} DP.","与 {flag} {name} 签署防务条约（+25 关系）。消耗：{cost} 外交点。"
cmd.diplomacy.sanction,"Sanctions imposed on {flag} {name}. Their economy suffers. Cost: {cost} DP.","对 {flag} {name} 实施制裁。其经济遭受打击。消耗：{cost} 外交点。"
cmd.diplomacy.condemn,"Publicly condemned {flag} {name} on the world stage. Cost: {cost} DP.","在世界舞台上公开谴责 {flag} {name}。消耗：{cost} 外交点。"
cmd.diplomacy.unknown_action,"Unknown diplomatic action: {action}. Try: improve, treaty, sanction, condemn","未知外交行动：{action}。请尝试：improve, treaty, sanction, condemn"

# ── Commands: military ──
cmd.military.desc,"Execute military operations","执行军事行动"
cmd.military.usage,"military <drill|deploy|strike|aid> <country_id>","military <drill|deploy|strike|aid> <country_id>"
cmd.military.no_args,"Usage: military <action> <country_id>","用法：military <action> <country_id>"
cmd.military.unknown_country,"Unknown country: {id}","未知国家：{id}"
cmd.military.self,"You cannot conduct military operations against yourself.","你不能对自己执行军事行动。"
cmd.military.no_endurance,"Not enough army endurance (need {cost}%, have {have}%)","军队耐力不足（需要 {cost}%，拥有 {have}%）"
cmd.military.drill,"Military drills conducted near {flag} {name}. Readiness increased. Cost: {cost}% AE.","在 {flag} {name} 附近进行了军事演习。战备状态提升。消耗：{cost}% 军队耐力。"
cmd.military.deploy,"Forces deployed near {flag} {name}. Regional tensions rise. Cost: {cost}% AE.","部队部署到 {flag} {name} 地区。区域紧张局势升级。消耗：{cost}% 军队耐力。"
cmd.military.strike,"⚡ Precision strikes hit {flag} {name}! Military capability reduced. World on edge. Cost: {cost}% AE.","⚡ 精确打击命中 {flag} {name}！军事能力下降。世界紧张不安。消耗：{cost}% 军队耐力。"
cmd.military.aid,"Military aid sent to {flag} {name}. Their military strengthened. Cost: {cost}% AE.","向 {flag} {name} 提供了军事援助。其军事实力增强。消耗：{cost}% 军队耐力。"
cmd.military.unknown_action,"Unknown military action: {action}. Try: drill, deploy, strike, aid","未知军事行动：{action}。请尝试：drill, deploy, strike, aid"

# ── Commands: economy ──
cmd.economy.desc,"Manage economic policies","管理经济政策"
cmd.economy.usage,"economy <invest|stimulus|manipulate|sanction>","economy <invest|stimulus|manipulate|sanction>"
cmd.economy.no_args,"Usage: economy <action>","用法：economy <action>"
cmd.economy.no_funds,"Not enough funds (need ${need}B, have ${have}B)","资金不足（需要 ${need}B，拥有 ${have}B）"
cmd.economy.invest,"${amount}B invested in domestic industry. Economy boosted (+{boost}). NE +{ne}%.","${amount}B 投资于国内产业。经济增长 (+{boost})。国家耐力 +{ne}%。"
cmd.economy.stimulus,"${amount}T stimulus package deployed. Economy +{boost}, Stability +{stb}. Markets calm.","${amount}T 刺激计划已部署。经济 +{boost}，稳定 +{stb}。市场平静。"
cmd.economy.manipulate,"Currency markets manipulated. USD strengthened vs CNY, weakened vs EUR. WC +3%.","货币市场被操纵。美元兑人民币走强，兑欧元走弱。世界崩坏度 +3%。"
cmd.economy.sanction,"Sweeping economic sanctions imposed on {flag} {name}. Their economy shrinks.","对 {flag} {name} 实施了全面经济制裁。其经济萎缩。"
cmd.economy.no_targets,"No hostile countries to sanction.","没有可制裁的敌对国家。"
cmd.economy.unknown_action,"Unknown economic action: {action}. Try: invest, stimulus, manipulate, sanction","未知经济行动：{action}。请尝试：invest, stimulus, manipulate, sanction"

# ── Commands: espionage ──
cmd.espionage.desc,"Conduct intelligence operations against another country","对另一个国家执行情报行动"
cmd.espionage.usage,"espionage <infiltrate|sabotage|intel> <country_id>","espionage <infiltrate|sabotage|intel> <country_id>"
cmd.espionage.no_args,"Usage: espionage <action> <country_id>","用法：espionage <action> <country_id>"
cmd.espionage.unknown_country,"Unknown country: {id}","未知国家：{id}"
cmd.espionage.self,"You cannot spy on yourself.","你不能对自己进行间谍活动。"
cmd.espionage.no_points,"Not enough diplomatic points for covert ops (need {cost}, have {have})","外交点数不足以执行秘密行动（需要 {cost}，拥有 {have}）"
cmd.espionage.infiltrate_success,"Agent infiltrated {flag} {name}'s government. Intel gained on their capabilities.","特工已渗透 {flag} {name} 政府。获得了其能力情报。"
cmd.espionage.infiltrate_fail,"⚠ Agent compromised! {flag} {name} expels our diplomats. Major diplomatic incident.","⚠ 特工暴露！{flag} {name} 驱逐了我们的外交官。重大外交事件。"
cmd.espionage.sabotage,"Covert sabotage damages {flag} {name}'s military infrastructure.","秘密破坏行动损害了 {flag} {name} 的军事基础设施。"
cmd.espionage.intel_header,"=== INTEL: {flag} {name} ===","=== 情报：{flag} {name} ==="
